country,Year,DCI
Denmark,1911,0.777983873
Denmark,1912,0.777288822
Denmark,1913,0.776602343
Denmark,1914,0.775700033
Denmark,1915,0.775032804
Denmark,1916,0.779238586
Denmark,1917,0.778585559
Denmark,1918,0.777726633
Denmark,1919,0.777091063
Denmark,1920,0.776254834
Denmark,1921,0.767214421
Denmark,1922,0.755289053
Denmark,1923,0.754548476
Denmark,1924,0.759771745
Denmark,1925,0.759224594
Denmark,1926,0.758682962
Denmark,1927,0.75256331
Denmark,1928,0.757792227
Denmark,1929,0.745468797
Denmark,1930,0.738369904
Denmark,1931,0.737861595
Denmark,1932,0.737358197
Denmark,1933,0.736859622
Denmark,1934,0.728824389
Denmark,1935,0.72850188
Denmark,1936,0.742120353
Denmark,1937,0.741636053
Denmark,1938,0.734436147
Denmark,1939,0.740838743
Denmark,1940,0.746541735
Denmark,1941,NA
Denmark,1942,NA
Denmark,1943,NA
Denmark,1944,NA
Denmark,1945,0.743323479
Denmark,1946,0.748127125
Denmark,1947,0.747396364
Denmark,1948,0.746819028
Denmark,1949,0.756472088
Denmark,1950,0.764911683
Denmark,1951,0.789543855
Denmark,1952,0.789075333
Denmark,1953,0.788596327
Denmark,1954,0.788049883
Denmark,1955,0.787593916
Denmark,1956,0.812868089
Denmark,1957,0.812549357
Denmark,1958,0.805333404
Denmark,1959,0.804879825
Denmark,1960,0.804401911
Denmark,1961,0.829930347
Denmark,1962,0.832708565
Denmark,1963,0.82888016
Denmark,1964,0.828376146
Denmark,1965,0.835844027
Denmark,1966,0.835330611
Denmark,1967,0.834766993
Denmark,1968,0.826390005
Denmark,1969,0.82604108
Denmark,1970,0.825534937
Denmark,1971,0.825085866
Denmark,1972,0.824705624
Denmark,1973,0.813500275
Denmark,1974,0.805031018
Denmark,1975,0.802652507
Denmark,1976,0.795513931
Denmark,1977,0.797725113
Denmark,1978,0.799849716
Denmark,1979,0.799688854
Denmark,1980,0.799614768
Denmark,1981,0.799627109
Denmark,1982,0.797354294
Denmark,1983,0.792532858
Denmark,1984,0.795032107
Denmark,1985,0.789974302
Denmark,1986,0.787240752
Denmark,1987,0.787167829
Denmark,1988,0.792337081
Denmark,1989,0.794774412
Denmark,1990,0.794688783
Denmark,1991,0.792044728
Denmark,1992,0.786648068
Denmark,1993,0.783678329
Denmark,1994,0.786228666
Denmark,1995,0.783214709
Denmark,1996,0.785552538
Denmark,1997,0.787935656
Denmark,1998,0.776924735
Denmark,1999,0.782579302
Denmark,2000,0.76703494
Denmark,2001,0.762786077
Denmark,2002,0.769457818
Denmark,2003,0.769311138
Denmark,2004,0.765812616
Denmark,2005,0.762149338
Denmark,2006,0.761938803
Denmark,2007,0.765189838
Denmark,2008,0.763227256
Denmark,2009,0.730204321
Denmark,2010,0.729686278
Denmark,2011,0.720863966
Denmark,2012,0.723764024
Denmark,2013,0.723555098
Denmark,2014,0.723301155
France,1816,0.794303281
France,1817,0.793384293
France,1818,0.796516546
France,1819,0.814606658
France,1820,0.823134773
France,1821,0.819480053
France,1822,0.832628242
France,1823,0.835640498
France,1824,0.830610378
France,1825,0.829647285
France,1826,0.829300058
France,1827,0.828937101
France,1828,0.831316587
France,1829,0.835475355
France,1830,0.833797109
France,1831,0.857594456
France,1832,0.845270366
France,1833,0.842381355
France,1834,0.834575497
France,1835,0.839480627
France,1836,0.840128043
France,1837,0.842727832
France,1838,0.841906699
France,1839,0.840774609
France,1840,0.866714976
France,1841,0.8717128
France,1842,0.864876285
France,1843,0.858033028
France,1844,0.851359529
France,1845,0.850190486
France,1846,0.855276212
France,1847,0.856170449
France,1848,0.854907251
France,1849,0.866945969
France,1850,0.863024534
France,1851,0.856948252
France,1852,0.855878665
France,1853,0.860010414
France,1854,0.862184654
France,1855,0.887586527
France,1856,0.887401224
France,1857,0.874057275
France,1858,0.86003361
France,1859,0.865377318
France,1860,0.882983274
France,1861,0.87228646
France,1862,0.871077572
France,1863,0.867279614
France,1864,0.866241123
France,1865,0.864905466
France,1866,0.861873915
France,1867,0.862069877
France,1868,0.864969875
France,1869,0.863645249
France,1870,0.860455519
France,1871,0.916236824
France,1872,0.868463959
France,1873,0.874734077
France,1874,0.866653497
France,1875,0.867884529
France,1876,0.869741109
France,1877,0.872288491
France,1878,0.874461889
France,1879,0.872024478
France,1880,0.874149375
France,1881,0.877902777
France,1882,0.87880435
France,1883,0.87003354
France,1884,0.871056313
France,1885,0.870021755
France,1886,0.871946501
France,1887,0.869788027
France,1888,0.87576733
France,1889,0.87790537
France,1890,0.878663651
France,1891,0.879692451
France,1892,0.879784964
France,1893,0.880184584
France,1894,0.877938349
France,1895,0.877430358
France,1896,0.880240085
France,1897,0.881066006
France,1898,0.884058377
France,1899,0.883949644
France,1900,0.880483682
France,1901,0.878497141
France,1902,0.879144732
France,1903,0.879464866
France,1904,0.877411143
France,1905,0.880577733
France,1906,0.881434846
France,1907,0.879765662
France,1908,0.879613004
France,1909,0.881805318
France,1910,0.882750189
France,1911,0.881209588
France,1912,0.881542331
France,1913,0.880365039
France,1914,0.905968727
France,1915,1.027696946
France,1916,1.032220473
France,1917,1.031464256
France,1918,1.032477168
France,1919,0.981122655
France,1920,0.936196149
France,1921,0.87172307
France,1922,0.871211255
France,1923,0.866312868
France,1924,0.861456907
France,1925,0.8604743
France,1926,0.859548495
France,1927,0.862558287
France,1928,0.859013698
France,1929,0.850150772
France,1930,0.849619766
France,1931,0.853862304
France,1932,0.850993766
France,1933,0.854991635
France,1934,0.856200902
France,1935,0.867899037
France,1936,0.872529806
France,1937,0.875213326
France,1938,0.871679142
France,1939,0.871763933
France,1940,1.013442717
France,1941,0.949398757
France,1942,NA
France,1943,NA
France,1944,0.87596223
France,1945,0.87463304
France,1946,0.873768599
France,1947,0.873464526
France,1948,0.872538225
France,1949,0.873256549
France,1950,0.873547617
France,1951,0.875774241
France,1952,0.878920041
France,1953,0.882739866
France,1954,0.886317762
France,1955,0.890592998
France,1956,0.894251004
France,1957,0.897792056
France,1958,0.900463658
France,1959,0.901911796
France,1960,0.903436675
France,1961,0.879941112
France,1962,0.877516127
France,1963,0.879186932
France,1964,0.874501376
France,1965,0.86331131
France,1966,0.862276172
France,1967,0.863469901
France,1968,0.860278351
France,1969,0.859815665
France,1970,0.85929796
France,1971,0.858187513
France,1972,0.857108475
France,1973,0.85899865
France,1974,0.859041671
France,1975,0.858815084
France,1976,0.858586237
France,1977,0.858220544
France,1978,0.85764104
France,1979,0.857062295
France,1980,0.856436365
France,1981,0.856116075
France,1982,0.856135231
France,1983,0.855875226
France,1984,0.854784791
France,1985,0.853614902
France,1986,0.852773694
France,1987,0.852604836
France,1988,0.852191359
France,1989,0.851883036
France,1990,0.851110074
France,1991,0.850790754
France,1992,0.849076756
France,1993,0.844415897
France,1994,0.844176212
France,1995,0.843691887
France,1996,0.843083521
France,1997,0.839464046
France,1998,0.835803907
